,ASXreturn,ASXvol,DAXreturn,DAXvol,FTSEreturn,FTSEvol,HSreturn,HSvol,NIKreturn,NIKvol,SNPnegative,SNPpositive,SNPvol
60,0.5505420835417261,0.11611156358363132,0.5784919216211084,0.2977317280622801,0.5660791144149937,0.0685921103383442,0.5873761196948842,0.07514717266892398,0.5068038471568728,0.10321812199615216,0.0,1.0,0.24446105083269073
61,0.5505420835417261,0.11611156358363132,0.5784919216211084,0.2977317280622801,0.5660791144149937,0.0685921103383442,0.5873761196948842,0.07514717266892398,0.5068038471568728,0.10321812199615216,0.0,1.0,0.24446105083269073
62,0.4226765192262363,0.22393391178748592,0.5486799516115195,0.09264594293884124,0.49046684382759514,0.09209451497258223,0.3981624317851954,0.20850643756053114,0.418951520758206,0.05509153765881704,1.0,0.0,0.08281566646985684
63,0.4841992547637507,0.22706231986059783,0.6458654995513481,0.3409712127335248,0.645269512825157,0.10644649726534453,0.570951599100649,0.09317647744110925,0.4786513512339761,0.11227546865553589,1.0,0.0,0.33984764426429126
64,0.5456155733727293,0.12577724291237455,0.5989290806281528,0.22504812793220016,0.5669571073164168,0.07187254720924927,0.5995652971083166,0.12473465377016614,0.5019425492855558,0.045271753076016476,1.0,0.0,0.1374590230857659
65,0.4569041158184365,0.22370529216519278,0.533170689670805,0.1862025413195376,0.44567431578921646,0.12577623098122703,0.38295164161707274,0.24781537782768776,0.41211998971913155,0.1639568269210069,1.0,0.0,0.20117640162460615
66,0.5975234863436119,0.1972150429823633,0.7604209630078953,0.28389714094438456,0.6912596822817187,0.1087716628707267,0.6230673180900076,0.06256608031111108,0.5098195691552406,0.05833743330959072,0.0,1.0,0.30466941790303237
67,0.5505420835417261,0.1972150429823633,0.5784919216211084,0.28389714094438456,0.5660791144149937,0.1087716628707267,0.5873761196948842,0.06256608031111108,0.5068038471568728,0.05833743330959072,0.0,1.0,0.30466941790303237
68,0.5505420835417261,0.1972150429823633,0.5784919216211084,0.28389714094438456,0.5660791144149937,0.1087716628707267,0.5873761196948842,0.06256608031111108,0.5068038471568728,0.05833743330959072,0.0,1.0,0.30466941790303237
69,0.6260450605165864,0.2154417207988222,0.5896375057025092,0.14252214556901274,0.5581586444849712,0.03308676432602689,0.6024977416495023,0.12326450475991667,0.5068038471568728,0.05833743330959072,1.0,0.0,0.09058291111418926
70,0.6675892700616443,0.24392132740554986,0.5938838320297964,0.14681782048230244,0.4946626231583955,0.08437942421638824,0.7630316233323734,0.2167999789154699,0.5294494233505865,0.09794839620192045,0.0,1.0,0.2634001602138414
71,0.49463628012361477,0.11249896814204141,0.7161242376290408,0.2545635843704111,0.6882105351237774,0.10118122159193725,0.4760101162449716,0.21340926600050872,0.48615281434887114,0.08584033531811,0.0,1.0,0.2014434867996342
